District,Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
20,2017 Q1,197.9584,152.0
20,2017 Q2,190.2176,149.0
20,2017 Q3,196.7451,148.0
20,2017 Q4,215.8601,161.0
20,2018 Q1,218.1373,171.0
20,2018 Q2,193.4156,147.0
20,2018 Q3,222.1961,162.0
20,2018 Q4,212.8619,160.0
20,2019 Q1,231.9838,192.0
20,2019 Q2,225.5974,181.0
20,2019 Q3,228.8523,173.0
20,2019 Q4,220.1278,162.0
20,2020 Q1,240.5763,183.0
20,2020 Q2,296.4091,246.0
20,2020 Q3,271.8825,237.5
20,2020 Q4,251.423,186.0
20,2021 Q1,260.0749,192.0
20,2021 Q2,256.0346,205.0
20,2021 Q3,249.7098,198.0
20,2021 Q4,261.3821,205.0
20,2022 Q1,242.9708,185.0
20,2022 Q2,258.7624,191.0
20,2022 Q3,262.3501,216.0
20,2022 Q4,247.6956,181.0
20,2023 Q1,245.0615,190.0
20,2023 Q2,239.7483,178.0
20,2023 Q3,207.7256,168.0
20,2023 Q4,250.0,195.5
20,2024 Q1,231.2346,182.0
20,2024 Q2,207.5053,149.0
20,2024 Q3,232.4068,163.5
20,2024 Q4,237.9802,167.5
20,2025 Q1,235.9648,184.0
20,2025 Q2,233.328,183.0
20,2025 Q3,197.8953,149.0
20,2025 Q4,223.0997,162.0
20,2026 Q1,214.6649,161.0
20,2026 Q2,227.338,183.0
