District,Filing Quarter,Number of violent cases filed involving a child victim
22,2017 Q1,2
22,2017 Q2,5
22,2017 Q3,5
22,2017 Q4,1
22,2018 Q1,4
22,2018 Q3,6
22,2018 Q4,3
22,2019 Q1,4
22,2019 Q2,5
22,2019 Q3,8
22,2019 Q4,4
22,2020 Q1,8
22,2020 Q2,6
22,2020 Q3,6
22,2020 Q4,4
22,2021 Q1,10
22,2021 Q2,5
22,2021 Q3,4
22,2021 Q4,1
22,2022 Q1,2
22,2022 Q3,3
22,2022 Q4,4
22,2023 Q1,5
22,2023 Q2,3
22,2023 Q3,3
22,2023 Q4,9
22,2024 Q1,5
22,2024 Q2,3
22,2024 Q3,6
22,2024 Q4,2
22,2025 Q1,6
22,2025 Q2,5
22,2025 Q3,5
22,2025 Q4,1
22,2026 Q1,2
22,2026 Q2,1
