District,Disposition Quarter,Conviction,No Conviction,Total
23,2017 Q1,3,2,5
23,2017 Q2,8,4,12
23,2017 Q3,6,6,12
23,2017 Q4,8,4,12
23,2018 Q1,5,2,7
23,2018 Q2,4,4,8
23,2018 Q3,6,3,9
23,2018 Q4,9,4,13
23,2019 Q1,4,4,8
23,2019 Q2,9,5,14
23,2019 Q3,5,1,6
23,2019 Q4,4,3,7
23,2020 Q1,6,5,11
23,2020 Q2,3,2,5
23,2020 Q3,7,2,9
23,2020 Q4,6,1,7
23,2021 Q1,2,3,5
23,2021 Q2,3,5,8
23,2021 Q3,10,0,10
23,2021 Q4,7,4,11
23,2022 Q1,9,1,10
23,2022 Q2,4,1,5
23,2022 Q3,4,1,5
23,2022 Q4,6,4,10
23,2023 Q1,10,1,11
23,2023 Q2,9,5,14
23,2023 Q3,9,3,12
23,2023 Q4,6,2,8
23,2024 Q1,8,1,9
23,2024 Q2,2,5,7
23,2024 Q3,4,0,4
23,2024 Q4,5,1,6
23,2025 Q1,8,2,10
23,2025 Q2,8,2,10
23,2025 Q3,12,0,12
23,2025 Q4,15,4,19
